DOEID,TYPEHUQ,NWEIGHT,HDD65,CDD65,HDD30YR,CDD30YR,Climate_Region_Pub,UR,KOWNRENT,YEARMADE,NUMFLRS,NUMAPTS,WALLTYPE,ROOFTYPE,STORIES,BEDROOMS,NCOMBATH,NHAFBATH,OTHROOMS,TOTROOMS,AIRCOND,COOLTYPE,USEEL,ELWARM,ELECAUX,ELCOOL,ELWATER,ELFOOD,ELOTHER,HHSEX,EMPLOYHH,EDUCATION,NHSLDMEM,HHAGE,MONEYPY,TOTSQFT_EN,KWH,DOLLAREL,CUFEETNG,DOLLARNG,GALLONLP,DOLLARLP,GALLONFO,DOLLARFO,GALLONKER,BTUKER,DOLLARKER,BTUWOOD,TOTALBTU,TOTALDOL,TOTSQMT_EN
3014,House,14259.23,6326.0,616.0,6305.0,887.0,1,U,Rented,1973,-2,-2,3,5,20,3,1,1,3,6,1,1,1,1,1,1,0,0,1,Male,1,collage,3,47,40682.73406906373,1710.0,10842.0,1245.0,839.0,661.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,122991.0,1906.0,159.03
3015,House,7834.5,7049.0,300.0,7284.0,327.0,1,U,Owned,1920,-2,-2,3,5,10,1,1,0,3,4,1,2,1,0,0,1,1,1,1,Female,1,collage,2,63,53200.498398006406,4314.0,5192.0,679.0,0.0,0.0,0.0,0.0,1526.0,3404.0,0.0,0.0,0.0,0.0,229356.0,4083.0,401.202
3016,House,10153.8,4259.0,1378.0,3908.0,1597.0,4,U,Owned,2009,-2,-2,1,5,32,3,3,1,3,6,1,1,1,1,1,1,0,0,1,Female,1,master,2,27,75106.58597365611,1700.0,8794.0,933.0,725.0,988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104318.0,1921.0,158.1
3017,Apartment,7727.97,779.0,1963.0,848.0,1673.0,2,U,Rented,1986,2,10,4,-2,-2,2,2,0,2,4,1,1,1,1,0,1,0,1,1,Male,1,collage,3,50,31294.410822356713,886.0,8125.0,1296.0,197.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47916.0,1515.0,82.398
3018,House,7313.36,2394.0,398.0,2520.0,300.0,5,U,Owned,1940,-2,-2,4,4,10,3,2,0,2,5,0,-2,1,0,0,0,0,0,1,Male,1,collage,7,40,46941.61623353507,1375.0,5541.0,503.0,663.0,634.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86864.0,1137.0,127.875
3019,House,7152.92,7665.0,466.0,7425.0,733.0,1,U,Rented,2000,-2,-2,3,5,20,3,1,1,2,5,1,1,1,1,0,1,1,1,1,Female,2,master,3,44,1564.7205411178356,1986.0,14790.0,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50463.0,1800.0,184.698
3020,Apartment,9830.05,3068.0,1708.0,2847.0,1816.0,4,U,Rented,1980,3,20,3,-2,-2,1,1,0,2,3,1,1,1,1,0,1,1,1,1,Male,0,collage,1,60,9388.323246707014,976.0,6930.0,753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23646.0,753.0,90.768
3021,House,7093.98,1664.0,2083.0,2169.0,1535.0,2,U,Rented,1950,-2,-2,4,7,10,3,2,1,5,8,1,1,1,1,1,1,0,1,1,Male,1,collage,8,57,28164.96974012104,3348.0,11045.0,2276.0,654.0,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20000.0,104721.0,2804.0,311.364
3022,Apartment,21755.11,5835.0,752.0,5970.0,863.0,1,R,Rented,1998,2,8,1,-2,-2,3,2,0,2,5,1,1,1,0,0,1,0,1,1,Female,2,master,1,76,9388.323246707014,1052.0,3938.0,412.0,344.0,540.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48696.0,952.0,97.836
3023,House,6252.35,2457.0,2025.0,2328.0,2161.0,3,U,Owned,1990,-2,-2,1,5,10,3,2,0,4,7,1,1,1,1,0,1,1,1,1,Female,1,collage,3,39,1251.7764328942685,1299.0,20605.0,2139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70304.0,2139.0,120.807
3024,Apartment,11379.13,7895.0,373.0,7642.0,529.0,1,U,Rented,1963,2,9,1,-2,-2,2,1,0,2,4,0,-2,1,0,0,0,0,1,1,Female,0,collage,1,42,12517.764328942685,863.0,2205.0,250.0,299.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38172.0,597.0,80.259
3025,House,6540.32,610.0,3504.0,658.0,3168.0,3,U,Owned,1965,-2,-2,4,5,10,3,2,1,4,7,1,1,1,1,1,1,1,1,1,Male,1,master,2,49,75106.58597365611,2462.0,12101.0,1769.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41289.0,1769.0,228.966
3026,House,2599.86,5442.0,919.0,5318.0,1225.0,4,U,Owned,1975,-2,-2,2,2,10,3,1,1,3,6,1,1,1,1,0,1,1,1,1,Female,1,collage,5,37,21906.087575649697,1485.0,30084.0,1859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102647.0,1859.0,138.105
3028,House,11278.02,3784.0,1400.0,3788.0,1687.0,4,R,Owned,1968,-2,-2,2,6,10,3,2,0,3,6,1,1,1,0,0,1,1,1,1,Male,1,collage,2,40,34423.85190459238,2058.0,15978.0,1575.0,452.0,923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100847.0,2498.0,191.394
3029,Apartment,5501.56,4681.0,1362.0,4552.0,1721.0,4,U,Rented,1979,3,24,1,-2,-2,-2,1,0,1,1,1,2,1,1,0,1,1,1,1,Male,1,master,1,36,18776.646493414028,421.0,7927.0,756.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27047.0,756.0,39.153
3030,House,4193.99,7596.0,559.0,7449.0,739.0,1,U,Owned,1954,-2,-2,2,6,20,4,1,2,2,6,1,2,1,1,1,1,0,0,1,Male,1,master,3,33,37553.292986828055,2720.0,7230.0,864.0,607.0,610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86887.0,1474.0,252.96
3031,House,9920.85,3446.0,1643.0,3243.0,1584.0,4,R,Owned,2002,-2,-2,1,5,20,4,3,0,4,8,1,1,1,0,0,1,0,1,1,Female,0,collage,2,47,62588.821644713425,3442.0,14618.0,1692.0,0.0,0.0,470.0,1153.0,78.0,189.0,0.0,0.0,0.0,0.0,103563.0,3034.0,320.106
3032,Apartment,9332.24,1175.0,1994.0,1454.0,1749.0,2,U,Rented,1999,2,12,2,-2,-2,1,1,0,1,2,1,1,1,1,0,1,0,0,1,Female,2,master,1,74,1564.7205411178356,711.0,2163.0,191.0,101.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17733.0,301.0,66.123
3033,House,7180.05,205.0,4361.0,124.0,4303.0,3,U,Owned,1960,-2,-2,7,1,10,2,1,1,3,5,1,1,1,1,0,1,1,1,1,Female,1,master,1,62,12517.764328942685,890.0,11173.0,1339.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38122.0,1339.0,82.77
3034,House,7780.98,3039.0,1795.0,3014.0,1770.0,4,R,Owned,2006,-2,-2,3,2,20,3,2,0,3,6,1,1,1,1,1,1,0,0,1,Female,0,collage,1,61,25035.52865788537,2736.0,5337.0,613.0,340.0,373.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,53060.0,986.0,254.448
3035,House,6054.97,2032.0,2477.0,1991.0,2362.0,3,R,Owned,2009,-2,-2,1,5,10,3,2,0,3,6,1,1,1,1,0,1,1,1,1,Female,0,collage,2,48,31294.410822356713,2054.0,10809.0,1206.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36880.0,1206.0,191.022
3036,House,5991.05,522.0,3818.0,499.0,3708.0,3,U,Owned,1981,-2,-2,7,3,10,3,1,0,2,5,1,1,1,1,0,1,1,1,1,Male,0,collage,3,50,18776.646493414028,1012.0,11896.0,1431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40589.0,1431.0,94.116
3037,House,7306.0,7926.0,233.0,7750.0,399.0,1,U,Owned,1950,-2,-2,3,5,10,2,2,0,3,5,0,-2,1,0,0,0,0,1,1,Female,0,collage,1,76,75106.58597365611,2064.0,3532.0,556.0,0.0,0.0,0.0,0.0,1210.0,2682.0,0.0,0.0,0.0,0.0,179866.0,3238.0,191.952
3038,House,7834.5,6038.0,642.0,6573.0,550.0,1,R,Owned,1920,-2,-2,3,6,20,3,1,1,5,8,1,2,1,0,0,1,0,1,1,Male,1,collage,5,38,53200.498398006406,4275.0,12911.0,1494.0,0.0,0.0,0.0,0.0,469.0,1193.0,0.0,0.0,0.0,10000.0,109046.0,2687.0,397.575
3039,House,8372.17,3260.0,1666.0,3435.0,1754.0,4,R,Owned,2002,-2,-2,2,6,20,3,3,0,2,5,1,1,1,0,0,1,0,1,1,Male,0,doctorate,2,67,40682.73406906373,2608.0,15732.0,1503.0,0.0,0.0,680.0,1611.0,0.0,0.0,0.0,0.0,0.0,0.0,115782.0,3114.0,242.544
3040,House,11549.07,1606.0,2683.0,1687.0,2489.0,3,U,Rented,1965,-2,-2,1,3,10,1,1,0,2,3,1,2,1,0,0,1,0,0,1,Female,1,primary,1,60,9388.323246707014,575.0,3729.0,610.0,201.0,491.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33326.0,1101.0,53.475
3041,House,6064.48,6576.0,582.0,6411.0,825.0,1,R,Owned,1984,-2,-2,3,4,10,2,2,0,3,5,1,1,1,0,0,1,1,1,1,Female,0,collage,1,71,6258.882164471343,1583.0,7895.0,1043.0,0.0,0.0,959.0,1513.0,0.0,0.0,0.0,0.0,0.0,0.0,114524.0,2556.0,147.219
3042,House,7744.5,7703.0,354.0,7460.0,494.0,1,U,Owned,1978,-2,-2,1,5,20,2,2,1,4,6,1,1,1,0,0,1,0,1,1,Female,1,master,2,51,15647.205411178356,3867.0,7615.0,1001.0,1192.0,1270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148162.0,2271.0,359.631
3043,House,7341.32,5363.0,655.0,5275.0,829.0,4,U,Owned,1955,-2,-2,3,5,31,3,1,0,4,7,1,2,1,1,1,1,0,0,1,Male,1,collage,3,42,59459.38056247775,1927.0,11902.0,2498.0,1304.0,2145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,174270.0,4643.0,179.211
3044,House,10659.22,1865.0,2571.0,1991.0,2262.0,4,R,Owned,1979,-2,-2,3,5,10,3,2,0,6,9,1,1,1,0,0,1,1,1,1,Female,0,master,3,25,18776.646493414028,2208.0,14627.0,1895.0,426.0,507.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93572.0,2402.0,205.344
3045,House,8562.8,4455.0,1290.0,4605.0,1214.0,4,U,Owned,1983,-2,-2,3,5,20,5,3,1,6,11,1,1,1,1,0,1,1,1,1,Male,1,master,3,52,75106.58597365611,3170.0,31100.0,3126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,106113.0,3126.0,294.81
3046,House,7093.98,1522.0,2076.0,1703.0,1922.0,2,U,Owned,1974,-2,-2,1,1,10,3,2,0,3,6,1,1,1,0,0,1,0,1,1,Male,0,doctorate,3,63,28164.96974012104,1313.0,8165.0,1184.0,348.0,347.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63529.0,1531.0,122.109
3047,Apartment,7316.18,5017.0,842.0,5208.0,871.0,4,U,Owned,1927,6,66,1,-2,-2,1,1,0,3,4,1,2,1,0,0,1,0,0,1,Female,0,master,4,40,1564.7205411178356,1080.0,4684.0,804.0,70.0,104.0,0.0,0.0,533.0,1356.0,0.0,0.0,0.0,0.0,97056.0,2264.0,100.44
3048,House,4232.49,7771.0,446.0,7707.0,691.0,1,U,Owned,1996,-2,-2,1,2,20,5,4,1,5,10,1,1,1,0,0,1,0,1,1,Male,1,doctorate,5,46,75106.58597365611,5673.0,23379.0,1980.0,1880.0,1472.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272469.0,3452.0,527.5889999999999
3049,Apartment,10235.54,4941.0,294.0,4739.0,259.0,5,U,Rented,2003,-2,-2,3,5,-2,3,2,0,2,5,1,2,1,1,0,1,1,1,1,Female,0,collage,1,66,6258.882164471343,1477.0,12403.0,1122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42319.0,1122.0,137.361
3050,House,9901.48,5945.0,134.0,5579.0,57.0,5,U,Owned,1929,-2,-2,2,5,10,2,1,0,3,5,1,2,1,1,1,1,1,1,1,Male,1,collage,2,29,62588.821644713425,1547.0,14615.0,1424.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,49866.0,1424.0,143.871
3051,House,9396.77,4558.0,1248.0,4667.0,1209.0,4,U,Owned,1982,-2,-2,3,5,20,4,2,1,5,9,1,1,1,0,0,1,0,1,1,Male,0,master,2,55,75106.58597365611,3056.0,9830.0,1160.0,669.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,102113.0,2195.0,284.20799999999997
3052,Apartment,4184.88,6265.0,428.0,6078.0,611.0,1,U,Rented,1990,-2,-2,2,5,-2,2,1,0,2,4,1,2,1,1,1,1,1,1,1,Female,0,collage,3,23,9388.323246707014,854.0,10792.0,827.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36822.0,827.0,79.422
3053,House,9737.42,5714.0,935.0,5356.0,951.0,1,U,Owned,1994,-2,-2,3,6,20,4,2,1,4,8,1,1,1,0,0,1,0,0,1,Female,1,master,5,43,40682.73406906373,2436.0,12232.0,1198.0,967.0,855.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140854.0,2053.0,226.548
3054,House,6506.71,3091.0,1696.0,3051.0,1749.0,4,R,Owned,2005,-2,-2,3,5,20,4,3,0,4,8,1,1,1,1,1,1,0,0,1,Female,0,master,2,34,37553.292986828055,2768.0,9500.0,1093.0,989.0,1005.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,133787.0,2098.0,257.424
3055,House,17351.47,5433.0,789.0,5499.0,918.0,1,U,Owned,1940,-2,-2,1,5,20,5,3,1,5,10,1,2,1,1,1,1,0,1,1,Female,1,master,3,44,75106.58597365611,3504.0,14678.0,1507.0,336.0,489.0,0.0,0.0,1568.0,3219.0,0.0,0.0,0.0,0.0,301987.0,5215.0,325.872
3056,House,7582.72,2744.0,157.0,2881.0,127.0,5,U,Owned,1926,-2,-2,4,6,20,3,2,0,5,8,0,-2,1,0,0,0,0,0,1,Male,0,primary,1,83,59459.38056247775,1579.0,4120.0,502.0,1433.0,1759.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160940.0,2261.0,146.847
3057,House,7364.81,6582.0,438.0,6318.0,612.0,1,U,Owned,2007,-2,-2,1,5,20,5,4,1,4,9,1,1,1,0,0,1,0,0,1,Male,1,master,5,60,75106.58597365611,5910.0,16099.0,2299.0,2742.0,3945.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335985.0,6244.0,549.63
3058,House,7549.59,3944.0,1335.0,4146.0,1427.0,4,R,Owned,1960,-2,-2,3,3,10,3,1,0,4,7,1,2,1,1,0,1,1,1,1,Female,1,collage,3,53,6258.882164471343,1066.0,23365.0,2250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79721.0,2250.0,99.138
3059,House,4751.97,8027.0,485.0,7931.0,616.0,1,U,Owned,1958,-2,-2,4,6,10,3,2,1,4,7,0,-2,1,1,1,0,0,0,1,Male,0,master,2,77,25035.52865788537,2496.0,7093.0,828.0,1005.0,931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,127214.0,1759.0,232.128
3060,House,8995.31,4442.0,591.0,4376.0,365.0,5,U,Owned,1956,-2,-2,2,5,10,3,2,0,3,6,1,2,1,1,1,1,1,1,1,Female,1,collage,3,60,1251.7764328942685,3048.0,31834.0,3214.0,0.0,0.0,0.0,0.0,500.0,1236.0,0.0,0.0,0.0,0.0,177963.0,4450.0,283.464
3061,House,11849.24,4190.0,1357.0,4094.0,1415.0,4,U,Owned,1925,-2,-2,1,8,31,3,1,1,3,6,1,2,1,1,1,1,0,0,1,Male,0,collage,3,41,3129.4410822356713,3840.0,6936.0,1103.0,448.0,914.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69586.0,2017.0,357.12
3062,House,12659.76,2367.0,2508.0,2571.0,2398.0,2,R,Owned,2007,-2,-2,3,5,10,3,3,0,3,6,1,1,1,1,0,1,1,1,1,Male,1,collage,3,46,75106.58597365611,2560.0,19860.0,2427.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67762.0,2427.0,238.07999999999998
3063,House,18522.26,5185.0,909.0,4996.0,1055.0,4,U,Owned,1964,-2,-2,1,5,20,3,1,1,3,6,1,1,1,0,0,1,1,1,1,Female,0,collage,1,85,9388.323246707014,2080.0,8324.0,1067.0,677.0,788.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97794.0,1855.0,193.44
3064,House,2778.26,4159.0,1541.0,4534.0,1654.0,4,U,Owned,1954,-2,-2,3,5,10,3,2,0,5,8,1,1,1,1,1,1,0,0,1,Female,0,master,2,69,31294.410822356713,2160.0,15506.0,1120.0,501.0,775.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104259.0,1895.0,200.88
3065,House,4305.21,6707.0,360.0,6435.0,543.0,1,U,Owned,1994,-2,-2,3,5,20,4,3,1,5,9,1,2,1,0,0,1,0,0,1,Male,1,master,2,39,75106.58597365611,3500.0,10372.0,1944.0,855.0,1238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,123027.0,3182.0,325.5
3066,Apartment,6583.36,148.0,4412.0,161.0,4203.0,3,U,Rented,1950,3,18,7,-2,-2,1,1,0,2,3,1,2,1,1,0,1,1,1,1,Female,2,collage,2,48,6258.882164471343,450.0,4728.0,616.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16132.0,616.0,41.85
3067,House,8405.11,2821.0,1837.0,2701.0,1903.0,4,U,Owned,1987,-2,-2,3,5,20,3,2,1,5,8,1,1,1,1,1,1,0,0,1,Female,1,doctorate,4,46,62588.821644713425,2624.0,14203.0,1599.0,676.0,702.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117751.0,2301.0,244.032
3068,House,7834.5,7476.0,326.0,7504.0,323.0,1,R,Owned,1920,-2,-2,2,3,20,4,1,1,4,8,0,-2,1,0,0,0,1,1,1,Male,1,collage,2,58,75106.58597365611,2725.0,18349.0,3149.0,0.0,0.0,617.0,1820.0,888.0,2113.0,0.0,0.0,0.0,0.0,242096.0,7082.0,253.425
3069,Apartment,7025.59,1142.0,2547.0,984.0,2705.0,3,U,Rented,1986,-2,-2,4,6,-2,2,2,0,3,5,1,1,1,1,0,1,1,1,1,Female,0,collage,1,31,1251.7764328942685,1206.0,9877.0,1048.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33700.0,1048.0,112.158
3070,House,16762.2,6128.0,629.0,5819.0,1047.0,1,U,Owned,1957,-2,-2,3,5,10,3,1,0,3,6,1,2,1,1,1,1,0,0,1,Female,1,master,4,51,34423.85190459238,1248.0,7016.0,875.0,812.0,1035.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107169.0,1910.0,116.064
3071,House,18384.86,6692.0,388.0,6492.0,553.0,1,R,Owned,1984,-2,-2,2,3,10,3,1,1,3,6,0,-2,1,1,1,0,1,1,1,Female,0,collage,1,71,12517.764328942685,2050.0,4631.0,572.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140000.0,15801.0,572.0,190.65
3072,House,7341.32,5318.0,666.0,5287.0,815.0,4,U,Rented,1963,-2,-2,3,5,20,4,2,1,4,8,1,1,1,0,0,1,0,0,1,Male,1,master,4,45,62588.821644713425,2786.0,8680.0,1839.0,892.0,1334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121046.0,3173.0,259.098
3073,House,2778.26,4380.0,1462.0,4378.0,1713.0,4,U,Owned,1947,-2,-2,3,5,20,4,3,0,3,7,1,1,1,0,0,1,1,0,1,Male,1,master,3,40,62588.821644713425,3564.0,21877.0,1402.0,630.0,915.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139219.0,2317.0,331.452
3074,House,8345.55,1229.0,3481.0,1254.0,3284.0,3,U,Rented,1945,-2,-2,1,2,10,3,2,0,3,6,1,1,1,0,0,1,0,0,1,Female,1,master,2,39,21906.087575649697,1465.0,11776.0,1458.0,309.0,449.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,71853.0,1907.0,136.245
3075,House,19092.86,3266.0,1574.0,3594.0,1531.0,4,U,Owned,1969,-2,-2,1,6,10,3,1,1,4,7,1,1,1,1,1,1,1,1,1,Female,0,collage,1,75,18776.646493414028,1272.0,10311.0,895.0,251.0,351.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60909.0,1246.0,118.29599999999999
3076,House,4751.97,9987.0,96.0,10288.0,126.0,1,U,Owned,1955,-2,-2,2,5,10,3,2,0,3,6,0,-2,1,1,1,0,0,1,1,Female,1,master,4,33,37553.292986828055,2368.0,10047.0,1018.0,992.0,612.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,135960.0,1630.0,220.224
3077,House,7264.47,1208.0,1484.0,1355.0,1240.0,2,U,Rented,1950,-2,-2,2,5,10,2,1,0,2,4,1,2,1,1,1,1,0,0,1,Female,0,collage,4,29,18776.646493414028,575.0,2284.0,284.0,401.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48896.0,731.0,53.475
3078,Apartment,8416.45,122.0,4486.0,117.0,4328.0,3,U,Owned,2004,20,118,7,-2,-2,-2,1,0,1,1,1,1,1,0,0,1,1,1,1,Male,1,collage,1,33,40682.73406906373,1012.0,6827.0,859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23294.0,859.0,94.116
3079,House,5447.17,2161.0,2807.0,1690.0,2926.0,3,U,Rented,1968,-2,-2,2,5,10,2,1,0,3,5,1,1,1,1,0,1,1,1,1,Female,1,collage,3,47,21906.087575649697,879.0,14059.0,1741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47969.0,1741.0,81.747
3080,House,2778.26,4395.0,1456.0,4456.0,1684.0,4,U,Owned,1930,-2,-2,3,5,10,3,1,0,3,6,1,1,1,1,1,1,0,0,1,Male,1,collage,6,55,28164.96974012104,2621.0,13556.0,1060.0,709.0,986.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118926.0,2046.0,243.753
3081,House,6763.24,1235.0,2704.0,1348.0,2513.0,3,R,Owned,2001,-2,-2,3,5,10,3,2,0,2,5,1,1,1,1,0,1,1,1,1,Female,1,master,2,57,46941.61623353507,1750.0,14003.0,2061.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47778.0,2061.0,162.75
3082,Apartment,7191.14,2877.0,1905.0,2878.0,1813.0,4,U,Rented,1995,-2,-2,1,5,-2,2,1,0,2,4,1,1,1,1,0,1,1,1,1,Female,2,collage,5,33,15647.205411178356,899.0,10128.0,890.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34557.0,890.0,83.607
3083,House,4357.04,7817.0,26.0,7732.0,56.0,1,R,Owned,1976,-2,-2,4,6,20,5,3,0,3,8,0,-2,1,1,1,0,1,1,1,Female,0,master,4,39,62588.821644713425,2800.0,13246.0,1324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,45195.0,1324.0,260.4
3084,House,6464.42,2723.0,2085.0,2690.0,1932.0,2,U,Rented,1983,-2,-2,3,5,10,2,1,0,3,5,0,-2,1,0,0,0,0,1,1,Female,1,master,1,48,25035.52865788537,1300.0,4242.0,462.0,118.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26569.0,554.0,120.9
3085,House,5535.93,1042.0,824.0,1220.0,734.0,2,U,Rented,1975,-2,-2,4,7,20,2,2,0,3,5,0,-2,1,0,0,0,0,0,1,Female,1,master,4,31,37553.292986828055,976.0,6066.0,933.0,478.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69692.0,1383.0,90.768
3086,House,5313.71,4617.0,1470.0,4826.0,1600.0,4,R,Owned,1986,-2,-2,3,5,10,3,2,0,5,8,1,1,1,1,1,1,0,1,1,Female,1,collage,4,53,75106.58597365611,1792.0,14342.0,1274.0,631.0,717.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40000.0,113613.0,1991.0,166.656
3087,House,10215.14,3309.0,1702.0,3165.0,1596.0,4,U,Owned,1996,-2,-2,3,5,20,5,2,1,3,8,1,1,1,0,0,1,0,0,1,Female,1,master,2,53,75106.58597365611,3496.0,9046.0,1083.0,711.0,1006.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103743.0,2089.0,325.128
3088,Apartment,6787.05,1423.0,3525.0,1534.0,3153.0,3,U,Rented,1960,-2,-2,1,5,-2,2,2,0,2,4,1,1,1,1,0,1,1,1,1,Male,1,master,2,51,25035.52865788537,949.0,9204.0,841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31404.0,841.0,88.257
3089,House,7604.88,1305.0,3367.0,1372.0,3147.0,3,U,Owned,1955,-2,-2,3,5,10,3,1,0,3,6,1,1,1,1,0,1,0,0,1,Female,0,collage,2,74,6258.882164471343,2052.0,14195.0,2260.0,610.0,792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110958.0,3052.0,190.836
3090,House,6027.16,5749.0,630.0,5720.0,726.0,1,U,Owned,1950,-2,-2,2,6,20,5,3,0,7,12,0,-2,1,0,0,0,0,1,1,Male,0,collage,2,62,43812.175151299394,3054.0,14146.0,3205.0,0.0,0.0,0.0,0.0,396.0,960.0,0.0,0.0,0.0,40000.0,103187.0,4165.0,284.022
3091,House,10423.08,4752.0,377.0,4531.0,223.0,5,U,Owned,2001,-2,-2,3,5,20,5,3,1,3,8,0,-2,1,0,0,0,0,1,1,Male,1,master,5,48,53200.498398006406,1913.0,8104.0,730.0,1044.0,1359.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134661.0,2089.0,177.909
3092,Apartment,12116.81,7098.0,469.0,6844.0,762.0,1,U,Rented,1968,-2,-2,2,5,-2,2,1,0,3,5,0,-2,1,1,0,0,0,0,1,Female,0,collage,4,34,6258.882164471343,1771.0,5829.0,783.0,385.0,414.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59352.0,1197.0,164.703
3093,Apartment,7607.15,1997.0,2908.0,2228.0,2592.0,3,U,Rented,1970,2,7,1,-2,-2,1,1,0,2,3,1,1,1,0,0,1,0,0,1,Male,1,primary,2,51,12517.764328942685,821.0,7181.0,889.0,409.0,458.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66425.0,1347.0,76.353
3094,House,16137.48,6450.0,558.0,6136.0,901.0,1,U,Owned,1941,-2,-2,1,6,20,4,2,1,4,8,1,1,1,1,1,1,0,1,1,Male,2,master,3,60,75106.58597365611,4557.0,10913.0,1335.0,1377.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178378.0,2369.0,423.801
